"","CREDDESC","EARN_MALE_WNE_MDN_1YR","EARN_NOMALE_WNE_MDN_1YR","EARN_MALE_WNE_MDN_4YR","EARN_NOMALE_WNE_MDN_4YR"
"1","Bachelor's Degree",37565,37803,57017,45776
"2","Bachelor's Degree",27939,28428,41005,39703
"3","Bachelor's Degree",37614,33378,44483,36644
"4","Master's Degree",86172,85894,112719,92581
"5","Bachelor's Degree",31667,26042,48718,34141
"6","Bachelor's Degree",27623,28091,32890,37754
"7","Bachelor's Degree",45397,31472,47151,39566
"8","First Professional Degree",112457,98965,158365,132786
"9","Master's Degree",109783,83673,143082,107746
"10","Master's Degree",103306,99990,132891,108741
"11","Master's Degree",45735,53286,95589,71769
"12","Doctoral Degree",76051,70583,82135,68046
"13","Bachelor's Degree",57806,57950,78046,63952
"14","Master's Degree",123260,94066,140590,104745
"15","Bachelor's Degree",45377,39713,62587,51228
"16","Master's Degree",84206,60066,92640,92993
"17","Bachelor's Degree",42366,49809,54195,52280
"18","Master's Degree",57272,54425,74308,76132
"19","Bachelor's Degree",30432,41930,66395,45202
"20","Bachelor's Degree",67834,52404,75660,54719
"21","Bachelor's Degree",26065,19686,33656,33680
"22","Bachelor's Degree",30627,22213,45199,32026
"23","Bachelor's Degree",36597,31715,52521,42686
"24","Bachelor's Degree",32502,31076,35464,50288
"25","Bachelor's Degree",37866,40779,58786,53006
"26","Doctoral Degree",77497,79643,100645,82452
"27","Bachelor's Degree",31194,30932,49309,44259
"28","Bachelor's Degree",65959,64120,79769,70540
"29","Bachelor's Degree",42507,32606,40856,41740
"30","Master's Degree",54394,42084,72285,55302
"31","First Professional Degree",70821,68582,94782,79041
"32","Master's Degree",44633,42345,47243,48063
"33","Bachelor's Degree",45958,30177,45393,44275
"34","Bachelor's Degree",30443,28206,36963,40525
"35","Bachelor's Degree",38868,29910,51695,41669
"36","Master's Degree",47126,40753,48664,47834
"37","Bachelor's Degree",28727,25414,50078,50282
"38","Bachelor's Degree",61235,62184,86663,64138
"39","Bachelor's Degree",47144,44746,61870,53076
"40","Master's Degree",84689,78995,112289,98311
"41","Bachelor's Degree",51814,48940,69244,67462
"42","Bachelor's Degree",50740,55887,71405,73537
"43","Bachelor's Degree",38039,30838,46203,43927
"44","Bachelor's Degree",66815,74330,95500,95523
"45","Bachelor's Degree",54916,48924,72408,70478
"46","Bachelor's Degree",49349,46942,69167,60296
"47","Bachelor's Degree",26422,36164,47271,46336
"48","Bachelor's Degree",52984,46656,58987,50788
"49","Bachelor's Degree",48190,44494,61610,52355
"50","First Professional Degree",94662,87885,106317,104395
"51","Bachelor's Degree",34440,36434,39234,58420
"52","Bachelor's Degree",39253,40925,45893,43623
"53","Master's Degree",44459,47604,61855,55008
"54","Bachelor's Degree",70081,72870,82251,87223
"55","Bachelor's Degree",67038,70812,81773,82417
"56","Bachelor's Degree",24432,20084,67886,55389
"57","Bachelor's Degree",35574,32937,53433,34345
"58","Bachelor's Degree",26225,23933,40548,42845
"59","Bachelor's Degree",40709,44355,52919,46307
"60","First Professional Degree",112328,100661,135626,128170
"61","Bachelor's Degree",55460,50439,67812,52286
