"","UNITID","OPEID6","INSTNM","CONTROL","MAIN","CIPCODE","CIPDESC","CREDLEV","CREDDESC","IPEDSCOUNT1","IPEDSCOUNT2","DEBT_ALL_STGP_ANY_N","DEBT_ALL_STGP_ANY_MEAN","DEBT_ALL_STGP_ANY_MDN","DEBT_ALL_STGP_EVAL_N","DEBT_ALL_STGP_EVAL_MEAN","DEBT_ALL_STGP_EVAL_MDN","DEBT_ALL_PP_ANY_N","DEBT_ALL_PP_ANY_MEAN","DEBT_ALL_PP_ANY_MDN","DEBT_ALL_PP_EVAL_N","DEBT_ALL_PP_EVAL_MEAN","DEBT_ALL_PP_EVAL_MDN","DEBT_MALE_STGP_ANY_N","DEBT_MALE_STGP_ANY_MEAN","DEBT_MALE_STGP_ANY_MDN","DEBT_MALE_STGP_EVAL_N","DEBT_MALE_STGP_EVAL_MEAN","DEBT_MALE_STGP_EVAL_MDN","DEBT_MALE_PP_ANY_N","DEBT_MALE_PP_ANY_MEAN","DEBT_MALE_PP_ANY_MDN","DEBT_MALE_PP_EVAL_N","DEBT_MALE_PP_EVAL_MEAN","DEBT_MALE_PP_EVAL_MDN","DEBT_NOTMALE_STGP_ANY_N","DEBT_NOTMALE_STGP_ANY_MEAN","DEBT_NOTMALE_STGP_ANY_MDN","DEBT_NOTMALE_STGP_EVAL_N","DEBT_NOTMALE_STGP_EVAL_MEAN","DEBT_NOTMALE_STGP_EVAL_MDN","DEBT_NOTMALE_PP_ANY_N","DEBT_NOTMALE_PP_ANY_MEAN","DEBT_NOTMALE_PP_ANY_MDN","DEBT_NOTMALE_PP_EVAL_N","DEBT_NOTMALE_PP_EVAL_MEAN","DEBT_NOTMALE_PP_EVAL_MDN","DEBT_PELL_STGP_ANY_N","DEBT_PELL_STGP_ANY_MEAN","DEBT_PELL_STGP_ANY_MDN","DEBT_PELL_STGP_EVAL_N","DEBT_PELL_STGP_EVAL_MEAN","DEBT_PELL_STGP_EVAL_MDN","DEBT_PELL_PP_ANY_N","DEBT_PELL_PP_ANY_MEAN","DEBT_PELL_PP_ANY_MDN","DEBT_PELL_PP_EVAL_N","DEBT_PELL_PP_EVAL_MEAN","DEBT_PELL_PP_EVAL_MDN","DEBT_NOPELL_STGP_ANY_N","DEBT_NOPELL_STGP_ANY_MEAN","DEBT_NOPELL_STGP_ANY_MDN","DEBT_NOPELL_STGP_EVAL_N","DEBT_NOPELL_STGP_EVAL_MEAN","DEBT_NOPELL_STGP_EVAL_MDN","DEBT_NOPELL_PP_ANY_N","DEBT_NOPELL_PP_ANY_MEAN","DEBT_NOPELL_PP_ANY_MDN","DEBT_NOPELL_PP_EVAL_N","DEBT_NOPELL_PP_EVAL_MEAN","DEBT_NOPELL_PP_EVAL_MDN","DEBT_ALL_PP_ANY_MDN10YRPAY","DEBT_ALL_PP_EVAL_MDN10YRPAY","DEBT_ALL_STGP_ANY_MDN10YRPAY","DEBT_ALL_STGP_EVAL_MDN10YRPAY","EARN_COUNT_NWNE_HI_1YR","EARN_CNTOVER150_HI_1YR","EARN_COUNT_WNE_HI_1YR","EARN_MDN_HI_1YR","EARN_COUNT_NWNE_HI_2YR","EARN_CNTOVER150_HI_2YR","EARN_COUNT_WNE_HI_2YR","EARN_MDN_HI_2YR","BBRR2_FED_COMP_N","BBRR2_FED_COMP_DFLT","BBRR2_FED_COMP_DLNQ","BBRR2_FED_COMP_FBR","BBRR2_FED_COMP_DFR","BBRR2_FED_COMP_NOPROG","BBRR2_FED_COMP_MAKEPROG","BBRR2_FED_COMP_PAIDINFULL","BBRR2_FED_COMP_DISCHARGE","BBRR3_FED_COMP_N","BBRR3_FED_COMP_DFLT","BBRR3_FED_COMP_DLNQ","BBRR3_FED_COMP_FBR","BBRR3_FED_COMP_DFR","BBRR3_FED_COMP_NOPROG","BBRR3_FED_COMP_MAKEPROG","BBRR3_FED_COMP_PAIDINFULL","BBRR3_FED_COMP_DISCHARGE","EARN_COUNT_PELL_WNE_1YR","EARN_PELL_WNE_MDN_1YR","EARN_COUNT_NOPELL_WNE_1YR","EARN_NOPELL_WNE_MDN_1YR","EARN_COUNT_MALE_WNE_1YR","EARN_MALE_WNE_MDN_1YR","EARN_COUNT_NOMALE_WNE_1YR","EARN_NOMALE_WNE_MDN_1YR","EARN_COUNT_NE_3YR","EARN_NE_MDN_3YR","EARN_COUNT_WNE_3YR","EARN_CNTOVER150_3YR","EARN_COUNT_PELL_NE_3YR","EARN_PELL_NE_MDN_3YR","EARN_COUNT_NOPELL_NE_3YR","EARN_NOPELL_NE_MDN_3YR","EARN_COUNT_MALE_NE_3YR","EARN_MALE_NE_MDN_3YR","EARN_COUNT_NOMALE_NE_3YR","EARN_NOMALE_NE_MDN_3YR","EARN_COUNT_NWNE_1YR","EARN_COUNT_WNE_1YR","EARN_MDN_1YR","EARN_GT_THRESHOLD_1YR","EARN_COUNT_HIGH_CRED_1YR","EARN_IN_STATE_1YR","EARN_COUNT_NWNE_4YR","EARN_COUNT_WNE_4YR","EARN_MDN_4YR","EARN_GT_THRESHOLD_4YR","EARN_COUNT_PELL_WNE_4YR","EARN_PELL_WNE_MDN_4YR","EARN_COUNT_NOPELL_WNE_4YR","EARN_NOPELL_WNE_MDN_4YR","EARN_COUNT_MALE_WNE_4YR","EARN_COUNT_NOMALE_WNE_4YR","EARN_COUNT_HIGH_CRED_4YR","EARN_IN_STATE_4YR","BBRR1_FED_COMP_N","BBRR1_FED_COMP_DFLT","BBRR1_FED_COMP_DLNQ","BBRR1_FED_COMP_FBR","BBRR1_FED_COMP_DFR","BBRR1_FED_COMP_NOPROG","BBRR1_FED_COMP_MAKEPROG","BBRR1_FED_COMP_PAIDINFULL","BBRR1_FED_COMP_DISCHARGE","BBRR4_FED_COMP_N","BBRR4_FED_COMP_DFLT","BBRR4_FED_COMP_DLNQ","BBRR4_FED_COMP_FBR","BBRR4_FED_COMP_DFR","BBRR4_FED_COMP_NOPROG","BBRR4_FED_COMP_MAKEPROG","BBRR4_FED_COMP_PAIDINFULL","BBRR4_FED_COMP_DISCHARGE","DISTANCE","Gender","Earnings"
"1","101116","013039","South University-Montgomery","Private, for-profit",0,"5138","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",5,"Master's Degree","6","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","2308","56624","59405","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","268","55642","56981","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","2040","56753","59645","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","1601","57844","61035","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","707","53861","54666","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","676","38","2737","2825","90832","17","1309","1355","91613","2652","0.02","0.03","0.32","0.07","0.38","0.14","0.06","0.00","1840","0.02","0.02","0.34","0.07","0.32","0.15","0.09","<=0.01","1834","94036","908","96270","352","101857","2389","94240","1371","98023","1312","1266","823","96922","547","98742","170","105617","1200","96756","48","2742","94831","2583","PrivacySuppressed","PrivacySuppressed","40","1269","106747","1177","754","105771","515","108043","160","1109","56","240","2528","0.00","0.02","0.63","0.03","0.24","0.04","0.03","0.00","1842","0.02","<=0.01","0.62","0.06","0.12","0.06","0.12","<=0.01",1,"EARN_NOMALE_WNE_MDN_4YR",105648
"2","101365","009621","Herzing University-Birmingham","Private, nonprofit",0,"5138","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",5,"Master's Degree","0","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","236","42434","40934","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","41","37330","38146","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","195","43507","41329","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","171","42549","40934","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","65","42130","40934","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","466","3","172","183","94228","5","52","53","94408","166","<=0.10","<=0.10","0.40 - 0.49","<=0.10","0.30 - 0.39","0.10 - 0.19","<=0.10","<=0.10","78","<=0.20","<=0.20","0.40 - 0.59","<=0.20","0.20 - 0.39","<=0.20","<=0.20","<=0.20","126","96740","66","100752","35","98282","158","98092","59","97156","54","50","35","102911","26","84398","17","80619","43","100340","4","191","97579","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","5","55","118306","PrivacySuppressed","35","118699","20","116786","16","39","PrivacySuppressed","PrivacySuppressed","223","<=0.05","<=0.05","0.65 - 0.69","<=0.05","0.15 - 0.19","<=0.05","<=0.05","<=0.05","78","<=0.20","<=0.20","0.60 - 0.79","<=0.20","<=0.20","<=0.20","<=0.20","<=0.20",3,"EARN_NOMALE_WNE_MDN_4YR",113598
"3","102368","001047","Troy University","Public",1,"5138","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",5,"Master's Degree","73","62","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","82","42371","41000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","14","40131","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","68","42832","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47","46430","46000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","35","36919","41000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","466","1","97","99","92588","1","136","138","91389","136","<=0.10","<=0.10","0.10 - 0.19","<=0.10","0.40 - 0.49","0.20 - 0.29","<=0.10","<=0.10","122","<=0.10","<=0.10","0.10 - 0.19","<=0.10","0.30 - 0.39","0.30 - 0.39","0.10 - 0.19","<=0.10","34","99609","20","89773","PrivacySuppressed","PrivacySuppressed","49","98833","139","93435","134","131","78","89554","61","100780","26","95904","113","93370","0","56","99110","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","1","139","107221","PrivacySuppressed","78","103389","59","115217","26","113","PrivacySuppressed","77","56","<=0.20","<=0.20","0.60 - 0.79","<=0.20","<=0.20","<=0.20","<=0.20","<=0.20","123","<=0.10","<=0.10","0.40 - 0.49","<=0.10","0.10 - 0.19","0.20 - 0.29","0.10 - 0.19","<=0.10",3,"EARN_NOMALE_WNE_MDN_4YR",107846
"4","104151","001081","Arizona State University Campus Immersion","Public",1,"5213","Management Sciences and Quantitative Methods.",5,"Master's Degree","212","638","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","136","37105","33647","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","91","36545","33660","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45","38239","33635","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","67","38112","36384","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","69","36128","33000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","383","7","180","182","89598","8","174","174","94075","179","<=0.10","<=0.10","0.10 - 0.19","<=0.10","0.20 - 0.29","0.20 - 0.29","0.20 - 0.29","<=0.10","189","<=0.10","<=0.10","0.10 - 0.19","<=0.10","0.20 - 0.29","0.20 - 0.29","0.20 - 0.29","<=0.10","67","84468","72","96488","105","90184","35","95466","189","98470","181","179","85","95574","104","108299","139","99984","51","97562","8","139","90234","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","5","188","113023","PrivacySuppressed","85","105624","103","125199","139","49","PrivacySuppressed","98","115","<=0.10","<=0.10","0.50 - 0.59","<=0.10","0.10 - 0.19","0.10 - 0.19","0.10 - 0.19","<=0.10","189","<=0.10","<=0.10","0.40 - 0.49","<=0.10","0.10 - 0.19","<=0.10","0.30 - 0.39","<=0.10",1,"EARN_NOMALE_WNE_MDN_4YR",103968
"5","104179","001083","University of Arizona","Public",1,"5202","Business Administration, Management and Operations.",5,"Master's Degree","237","181","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","144","43284","41000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","98","45018","41000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46","39589","35009","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","76","43904","41000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","68","42590","37431","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","466","7","206","211","91677","4","145","148","92743","161","<=0.10","<=0.10","0.30 - 0.39","<=0.10","0.20 - 0.29","0.20 - 0.29","0.10 - 0.19","<=0.10","160","<=0.10","<=0.10","0.30 - 0.39","<=0.10","0.10 - 0.19","0.20 - 0.29","0.20 - 0.29","<=0.10","113","101199","93","111250","131","109317","76","88796","156","98271","147","143","69","94455","87","100260","109","99360","47","96787","10","206","102827","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","4","151","113207","PrivacySuppressed","67","107210","84","120067","107","45","PrivacySuppressed","106","122","<=0.10","<=0.10","0.70 - 0.79","<=0.10","<=0.10","<=0.10","0.10 - 0.19","<=0.10","160","<=0.10","<=0.10","0.50 - 0.59","<=0.10","<=0.10","<=0.10","0.30 - 0.39","<=0.10",3,"EARN_NOMALE_WNE_MDN_4YR",104941
"6","105330","001082","Northern Arizona University","Public",1,"5109","Allied Health Diagnostic, Intervention, and Treatment Professions.",5,"Master's Degree","67","76","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","118","72046","72425","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","34","72254","65888","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","84","71963","74585","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","70","70913","67262","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48","73699","75694","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","824","1","97","99","94560","0","37","37","101406","87","<=0.20","<=0.20","<=0.20","<=0.20","0.40 - 0.59","0.20 - 0.39","0.20 - 0.39","<=0.20","59","<=0.20","<=0.20","<=0.20","<=0.20","0.20 - 0.39","0.20 - 0.39","0.20 - 0.39","<=0.20","63","94057","50","103985","35","95221","78","98428","37","108112","36","36","18","109445","19","108158","PrivacySuppressed","PrivacySuppressed","22","100454","3","113","95991","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0","40","110912","PrivacySuppressed","19","114084","21","108575","17","24","PrivacySuppressed","29","115","<=0.10","<=0.10","0.40 - 0.49","<=0.10","0.20 - 0.29","0.10 - 0.19","0.10 - 0.19","<=0.10","59","<=0.20","<=0.20","0.40 - 0.59","<=0.20","<=0.20","<=0.20","0.20 - 0.39","<=0.20",1,"EARN_NOMALE_WNE_MDN_4YR",109279
"7","106263","001109","University of Arkansas for Medical Sciences","Public",1,"5138","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",5,"Master's Degree","102","93","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","113","43772","41000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","11","46987","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","102","43425","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","65","48593","46030","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48","37244","29459","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","466","0","212","214","92222","3","164","165","95134","110","<=0.10","<=0.10","0.20 - 0.29","<=0.10","0.30 - 0.39","0.20 - 0.29","0.10 - 0.19","<=0.10","98","<=0.20","<=0.20","0.20 - 0.39","<=0.20","0.20 - 0.39","0.20 - 0.39","<=0.20","<=0.20","113","89907","87","94271","16","117711","184","90827","164","99848","158","156","96","102768","69","93641","19","110240","145","98802","1","200","93144","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","6","158","105723","PrivacySuppressed","89","108425","67","101296","20","136","PrivacySuppressed","140","142","<=0.10","<=0.10","0.60 - 0.69","<=0.10","0.20 - 0.29","<=0.10","<=0.10","<=0.10","98","<=0.20","<=0.20","0.40 - 0.59","<=0.20","<=0.20","<=0.20","0.20 - 0.39","<=0.20",1,"EARN_NOMALE_WNE_MDN_4YR",103386
"8","109785","001117","Azusa Pacific University","Private, nonprofit",1,"5138","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3,"Bachelor's Degree","495","597","770","27761","26898","573","24085","25000","161","29046","19964","87","33870","26200","134","25936","23987","94","22990","24557","27","32430","23720","13","44508","PrivacySuppressed","636","28145","27085","479","24300","25000","134","28365","19469","74","32001","PrivacySuppressed","558","29402","28779","434","24471","25000","97","22390","15000","48","28999","21162","212","23442","23994","139","22882","25000","64","39135","27499","39","39865","28184","237","312","285","265","9","526","534","90222","6","364","379","89570","379","<=0.05","<=0.05","0.05 - 0.09","0.05 - 0.09","0.15 - 0.19","0.45 - 0.49","0.15 - 0.19","<=0.05","351","<=0.05","<=0.05","0.10 - 0.14","0.10 - 0.14","0.10 - 0.14","0.40 - 0.44","0.20 - 0.24","<=0.05","391","94397","160","93801","86","101611","466","92886","347","97162","339","329","228","96972","119","96618","49","99428","298","95306","5","551","94015","513","PrivacySuppressed","PrivacySuppressed","7","338","106062","317","221","105419","117","106910","49","290","20","287","548","<=0.02","<=0.02","0.55 - 0.56","0.05 - 0.06","0.09 - 0.10","0.17 - 0.18","0.09 - 0.10","<=0.02","351","<=0.05","<=0.05","0.35 - 0.39","0.10 - 0.14","<=0.05","0.20 - 0.24","0.25 - 0.29","<=0.05",2,"EARN_NOMALE_WNE_MDN_4YR",105357
"9","110422","001143","California Polytechnic State University-San Luis Obispo","Public",1,"1435","Industrial Engineering.",3,"Bachelor's Degree","95","96","65","PrivacySuppressed","19691","65","PrivacySuppressed","19691","25","PrivacySuppressed","47952","25","PrivacySuppressed","47952","41","PrivacySuppressed","19242","41","PrivacySuppressed","19242","15","PrivacySuppressed","PrivacySuppressed","15","PrivacySuppressed","PrivacySuppressed","24","PrivacySuppressed","21932","24","PrivacySuppressed","21932","10","PrivacySuppressed","PrivacySuppressed","10","PrivacySuppressed","PrivacySuppressed","22","PrivacySuppressed","19466","22","PrivacySuppressed","19466","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43","PrivacySuppressed","20000","43","PrivacySuppressed","20000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","570","570","209","209","3","67","70","72643","1","53","53","73562","56","<=0.20","<=0.20","<=0.20","<=0.20","<=0.20","0.40 - 0.59","0.20 - 0.39","<=0.20","49","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.40 - 0.59","PrivacySuppressed","PrivacySuppressed","32","73354","49","81278","50","69999","32","84111","50","90242","48","47","21","92292","28","85834","31","90985","18","87032","3","82","78789","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","1","47","103886","PrivacySuppressed","21","109480","26","99225","31","16","PrivacySuppressed","37","76","<=0.20","<=0.20","0.40 - 0.59","<=0.20","<=0.20","0.20 - 0.39","0.20 - 0.39","<=0.20","49","PrivacySuppressed","PrivacySuppressed","0.20 - 0.39","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.40 - 0.59","PrivacySuppressed",1,"EARN_NOMALE_WNE_MDN_4YR",104077
"10","110547","001141","California State University-Dominguez Hills","Public",1,"5110","Clinical/Medical Laboratory Science/Research and Allied Professions.",3,"Bachelor's Degree","50","49","55","22146","20125","52","19846","19579","11","16975","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","18","24646","PrivacySuppressed","16","21559","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","37","20929","PrivacySuppressed","36","19085","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44","21009","PrivacySuppressed","41","18009","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","11","PrivacySuppressed","PrivacySuppressed","11","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","213","208","5","17","23","23965","1","35","38","86867","23","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","34","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.20 - 0.39","PrivacySuppressed","24","36194","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","17","34784","41","100916","40","36","30","99306","PrivacySuppressed","PrivacySuppressed","19","113989","20","88900","3","27","35792","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","1","38","121466","PrivacySuppressed","29","122579","PrivacySuppressed","PrivacySuppressed","19","20","PrivacySuppressed","37","45","PrivacySuppressed","PrivacySuppressed","0.40 - 0.59","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","34","PrivacySuppressed","PrivacySuppressed","0.20 - 0.39","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1,"EARN_NOMALE_WNE_MDN_4YR",122313
