"","ADM_RATE_ALL","SATVRMID","SATMTMID","SATWRMID","TestPerc","Score","good_lab","ADM_RATE_ROUND"
"1",0.71600609756097,"475","460","414","SATVR25",430,"SAT Verbal Reasoning 
25th Percentile",70
"2",0.88535192339996,"637","644","NULL","SATVR25",593,"SAT Verbal Reasoning 
25th Percentile",80
"3",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"4",0.73672375021622,"640","655","NULL","SATVR25",580,"SAT Verbal Reasoning 
25th Percentile",70
"5",0.97991295614328,"488","457","NULL","SATVR25",442,"SAT Verbal Reasoning 
25th Percentile",90
"6",0.78904316258456,"610","610","540","SATVR25",540,"SAT Verbal Reasoning 
25th Percentile",70
"7",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"8",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"9",0.96798825256975,"538","518","NULL","SATVR25",480,"SAT Verbal Reasoning 
25th Percentile",90
"10",0.71182881349795,"NULL","NULL","570","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",70
"11",0.65908167411621,"580","585","NULL","SATVR25",550,"SAT Verbal Reasoning 
25th Percentile",60
"12",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"13",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"14",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"15",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"16",0.64600781686208,"550","548","470","SATVR25",500,"SAT Verbal Reasoning 
25th Percentile",60
"17",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"18",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"19",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"20",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"21",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"22",0.94095092024539,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",90
"23",0.69301164725457,"535","490","NULL","SATVR25",510,"SAT Verbal Reasoning 
25th Percentile",60
"24",NA,"NULL","NULL","430","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"25",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"26",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"27",0.76342650004769,"535","590","NULL","SATVR25",490,"SAT Verbal Reasoning 
25th Percentile",70
"28",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"29",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"30",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"31",0.74333983105912,"450","480","475","SATVR25",430,"SAT Verbal Reasoning 
25th Percentile",70
"32",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"33",0.45353982300884,"605","595","NULL","SATVR25",560,"SAT Verbal Reasoning 
25th Percentile",40
"34",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"35",0.64092446448703,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",60
"36",0.90086526576019,"545","540","528","SATVR25",500,"SAT Verbal Reasoning 
25th Percentile",90
"37",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"38",0.89970674486803,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",80
"39",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"40",0.71850170261066,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",70
"41",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"42",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"43",0.83874792506521,"615","580","555","SATVR25",570,"SAT Verbal Reasoning 
25th Percentile",80
"44",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"45",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"46",0.7077938563087,"555","545","500","SATVR25",500,"SAT Verbal Reasoning 
25th Percentile",70
"47",0.71523178807947,"510","505","NULL","SATVR25",490,"SAT Verbal Reasoning 
25th Percentile",70
"48",0.75798319327731,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",70
"49",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"50",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"51",0.95270469997044,"533","510","NULL","SATVR25",485,"SAT Verbal Reasoning 
25th Percentile",90
"52",0.34197976038152,"525","500","NULL","SATVR25",470,"SAT Verbal Reasoning 
25th Percentile",30
"53",1,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",100
"54",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"55",0.69046925094724,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",60
"56",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"57",0.64693295292439,"620","615","510","SATVR25",560,"SAT Verbal Reasoning 
25th Percentile",60
"58",0.5625,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",50
"59",0.96031746031746,"NULL","NULL","455","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",90
"60",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"61",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"62",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"63",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"64",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"65",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"66",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"67",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"68",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
"69",NA,"NULL","NULL","NULL","SATVR25",NA,"SAT Verbal Reasoning 
25th Percentile",NA
