"","port_inst_dat.REGION","port_inst_dat.COSTT4_A","value","fact_tuition"
"1",5,21924,459.288509787615,"$20,000-$35,400"
"2",5,26248,931.855911653978,"$20,000-$35,400"
"4",5,24869,296.278192068037,"$20,000-$35,400"
"5",5,21938,2171.94818138913,"$20,000-$35,400"
"6",5,31050,69.0815147854061,"$20,000-$35,400"
"7",5,13930,729.182126876635,"$4,600-$20,000"
"9",5,20621,1340.42508522443,"$20,000-$35,400"
"10",5,32678,1161.39442916614,"$20,000-$35,400"
"11",5,33920,1700.48445735583,"$20,000-$35,400"
"12",5,9320,2464.09794811709,"$4,600-$20,000"
"13",5,23107,142.087269838094,"$20,000-$35,400"
"14",5,9454,350.102371960563,"$4,600-$20,000"
"15",5,12881,922.701409242725,"$4,600-$20,000"
"16",5,36457,1237.44455516453,"$35,400-$50,700"
"17",5,10619,938.98581159183,"$4,600-$20,000"
"19",5,8791,134.977378168599,"$4,600-$20,000"
"20",5,13196,1420.93307680129,"$4,600-$20,000"
"21",5,9102,980.691910088647,"$4,600-$20,000"
"22",5,31202,89.6578631297078,"$20,000-$35,400"
"23",5,39177,192.04009438964,"$35,400-$50,700"
"24",5,16024,1219.10577563193,"$4,600-$20,000"
"25",5,11544,422.80348519906,"$4,600-$20,000"
"26",5,6084,119.608786978678,"$4,600-$20,000"
"27",5,22023,545.353807146068,"$20,000-$35,400"
"28",5,14975,771.499739124751,"$4,600-$20,000"
"29",5,11507,435.898217527623,"$4,600-$20,000"
"30",5,13864,242.527337748347,"$4,600-$20,000"
"31",5,22525,9.08770053732305,"$20,000-$35,400"
"32",5,14826,649.402885621928,"$4,600-$20,000"
"33",5,18568,948.320329369124,"$4,600-$20,000"
"34",5,22857,590.742108677903,"$20,000-$35,400"
"35",5,37823,344.923539863565,"$35,400-$50,700"
"36",5,26709,756.641222376377,"$20,000-$35,400"
"37",5,9617,1646.18436773973,"$4,600-$20,000"
"38",5,21507,438.740796766646,"$20,000-$35,400"
"39",5,9260,1517.4649969821,"$4,600-$20,000"
"40",5,37238,453.209416185744,"$35,400-$50,700"
"41",5,8598,249.896621108483,"$4,600-$20,000"
"42",5,10415,174.001220032635,"$4,600-$20,000"
"43",5,51314,490.160061026635,"50,800-$65,000"
"44",5,14409,726.818531347458,"$4,600-$20,000"
"45",5,13481,329.11234419355,"$4,600-$20,000"
"46",5,22139,102.510109158617,"$20,000-$35,400"
"47",5,56502,481.491844768,"50,800-$65,000"
"48",5,24540,280.752168468273,"$20,000-$35,400"
"49",5,22696,467.172701297121,"$20,000-$35,400"
"50",5,12098,766.334699581112,"$4,600-$20,000"
"51",5,21376,994.489597903391,"$20,000-$35,400"
"52",5,41991,409.426951409975,"$35,400-$50,700"
"54",5,15406,229.197211417204,"$4,600-$20,000"
"55",8,20548,1307.48228609614,"$20,000-$35,400"
"56",8,20897,303.394235738179,"$20,000-$35,400"
"57",8,19621,1784.67056027524,"$4,600-$20,000"
"58",8,16275,945.940013399839,"$4,600-$20,000"
"59",8,38278,404.937535579934,"$35,400-$50,700"
"61",8,32511,1018.85027726706,"$20,000-$35,400"
"70",6,26992,2169.01759927914,"$20,000-$35,400"
"71",6,15598,710.346018576505,"$4,600-$20,000"
"72",6,27985,671.652996041812,"$20,000-$35,400"
"73",6,10402,1083.17189197413,"$4,600-$20,000"
"75",6,12103,2583.61932790388,"$4,600-$20,000"
"78",6,16509,25.1694660802311,"$4,600-$20,000"
"79",6,56260,359.132473919079,"50,800-$65,000"
"81",6,15020,1122.44365235374,"$4,600-$20,000"
"82",6,31393,768.992105294254,"$20,000-$35,400"
"83",6,15327,2337.17998408729,"$4,600-$20,000"
"84",6,16002,223.278443063518,"$4,600-$20,000"
"85",6,11046,382.77449324568,"$4,600-$20,000"
"87",6,14140,409.11863979052,"$4,600-$20,000"
"88",6,28480,1157.75290910071,"$20,000-$35,400"
"89",6,14079,1305.64973465103,"$4,600-$20,000"
"91",6,15974,1977.95736512766,"$4,600-$20,000"
"92",6,8648,53.4808558755878,"$4,600-$20,000"
"95",6,44892,754.911515193257,"$35,400-$50,700"
"97",6,14123,793.247262005156,"$4,600-$20,000"
"99",6,16557,238.536618563848,"$4,600-$20,000"
"100",6,15440,729.242366030147,"$4,600-$20,000"
"101",6,47850,1028.80182721121,"$35,400-$50,700"
"103",6,12567,224.118438683448,"$4,600-$20,000"
"104",5,20260,2318.49427195441,"$20,000-$35,400"
"106",5,22127,1422.88304594725,"$20,000-$35,400"
"109",5,33415,340.230380092293,"$20,000-$35,400"
"112",5,23843,370.193985042314,"$20,000-$35,400"
"113",5,18873,186.968573798268,"$4,600-$20,000"
"114",5,15021,1760.56696985418,"$4,600-$20,000"
"115",5,21752,1808.53073286632,"$20,000-$35,400"
"116",5,19857,624.589313033047,"$4,600-$20,000"
"117",5,19028,243.554924579366,"$4,600-$20,000"
"119",5,24888,281.470798105413,"$20,000-$35,400"
"120",5,13317,311.814846933594,"$4,600-$20,000"
"121",5,21408,639.84371177896,"$20,000-$35,400"
"122",5,27262,515.367810075557,"$20,000-$35,400"
"123",5,11803,1442.2883004556,"$4,600-$20,000"
"124",5,23830,801.937724732787,"$20,000-$35,400"
"125",5,13211,1851.7786575869,"$4,600-$20,000"
"128",5,14109,829.188704029441,"$4,600-$20,000"
"129",5,14176,1330.4117641859,"$4,600-$20,000"
"130",5,33168,2680.90845287344,"$20,000-$35,400"
"131",5,25533,57.6518444111892,"$20,000-$35,400"
"132",5,55218,818.67081978457,"50,800-$65,000"
"135",5,41492,176.097902710072,"$35,400-$50,700"
"138",5,15083,600.237696514964,"$4,600-$20,000"
"139",5,10511,1617.55836422157,"$4,600-$20,000"
"141",5,15648,357.752034087607,"$4,600-$20,000"
"142",5,16765,508.006541761628,"$4,600-$20,000"
"143",5,41491,3590.76459715903,"$35,400-$50,700"
"144",5,10098,1327.46722467625,"$4,600-$20,000"
"145",5,11266,997.610458090421,"$4,600-$20,000"
"146",5,34732,629.317816299178,"$20,000-$35,400"
"147",5,13628,37.248354847444,"$4,600-$20,000"
"148",5,25960,796.220940781275,"$20,000-$35,400"
"149",5,10574,622.485117598957,"$4,600-$20,000"
"150",5,13136,1193.28858366497,"$4,600-$20,000"
"152",5,18439,599.358717843208,"$4,600-$20,000"
"153",5,12807,782.819610695168,"$4,600-$20,000"
"154",5,10811,301.512051776731,"$4,600-$20,000"
"157",5,19840,1951.46414339386,"$4,600-$20,000"
"158",5,31252,166.859014529944,"$20,000-$35,400"
"159",5,11982,352.509693800412,"$4,600-$20,000"
"160",5,23732,261.573748673911,"$20,000-$35,400"
"161",5,17911,602.50532119611,"$4,600-$20,000"
"163",5,18174,1312.78208073045,"$4,600-$20,000"
"164",8,41301,1632.39472685677,"$35,400-$50,700"
"166",8,14602,112.722524955841,"$4,600-$20,000"
"167",8,11135,1069.42448749879,"$4,600-$20,000"
"168",8,47804,111.986360411056,"$35,400-$50,700"
"174",8,13465,680.729251836976,"$4,600-$20,000"
"175",8,11709,9.90559753345776,"$4,600-$20,000"
"176",8,68087,165.929883207079,"$66,200-$81,530"
"179",8,54720,957.616177557908,"50,800-$65,000"
"180",8,13485,2421.4144324465,"$4,600-$20,000"
"181",8,17676,416.950577325016,"$4,600-$20,000"
"183",8,19754,415.475007510309,"$4,600-$20,000"
"184",8,57403,69.351088631606,"50,800-$65,000"
"186",6,23267,162.904610916333,"$20,000-$35,400"
"187",8,14581,930.0276849074,"$4,600-$20,000"
"189",8,20716,1223.94477741986,"$20,000-$35,400"
"190",8,46274,1742.40540831863,"$35,400-$50,700"
"191",8,68296,1445.23422258023,"$66,200-$81,530"
"193",8,77718,331.82173526272,"$66,200-$81,530"
"194",8,55039,626.050479134997,"50,800-$65,000"
"195",8,28843,26.1967104193833,"$20,000-$35,400"
"197",8,18172,1707.63883104411,"$4,600-$20,000"
"198",8,17005,366.145490166771,"$4,600-$20,000"
"199",8,13365,1923.54680511618,"$4,600-$20,000"
"200",8,22108,268.302828351334,"$20,000-$35,400"
"201",8,22469,353.697081707919,"$20,000-$35,400"
"202",8,14579,625.749928939979,"$4,600-$20,000"
"203",8,17014,948.718035989446,"$4,600-$20,000"
"204",8,14182,728.419639999632,"$4,600-$20,000"
"205",8,22134,646.741290907523,"$20,000-$35,400"
"206",8,18699,3098.61440779781,"$4,600-$20,000"
"207",8,13712,828.036554808347,"$4,600-$20,000"
"208",8,19641,1701.99610818786,"$4,600-$20,000"
"209",8,17561,290.772846745611,"$4,600-$20,000"
"210",8,37510,1831.17650288982,"$35,400-$50,700"
"211",8,33396,158.338239834873,"$20,000-$35,400"
"212",8,30173,104.200811579753,"$20,000-$35,400"
"213",8,29153,2122.05573171361,"$20,000-$35,400"
"214",8,30569,42.2616633872594,"$20,000-$35,400"
"215",8,32719,1943.01668903882,"$20,000-$35,400"
"217",8,34738,72.2298668109323,"$20,000-$35,400"
"218",8,37040,116.631560703063,"$35,400-$50,700"
"224",8,74931,273.435991708982,"$66,200-$81,530"
"225",8,24845,942.49218133234,"$20,000-$35,400"
"227",8,9715,667.413087092989,"$4,600-$20,000"
"228",8,11273,303.817381845637,"$4,600-$20,000"
"237",8,13286,734.542755640864,"$4,600-$20,000"
"238",8,16281,877.703018953108,"$4,600-$20,000"
"239",8,13354,499.778932756096,"$4,600-$20,000"
"240",8,18583,2160.73313530244,"$4,600-$20,000"
"241",8,71065,1738.66334630748,"$66,200-$81,530"
"242",8,36763,512.06243843901,"$35,400-$50,700"
"243",8,53068,830.487498501415,"50,800-$65,000"
"244",8,47504,978.041689890032,"$35,400-$50,700"
"246",8,13090,856.953524822978,"$4,600-$20,000"
"248",8,14677,652.348665885116,"$4,600-$20,000"
"250",8,66496,1291.13051979506,"$66,200-$81,530"
"253",8,14743,129.903336493863,"$4,600-$20,000"
"254",8,35103,278.106303714506,"$20,000-$35,400"
"257",8,12959,167.866226555685,"$4,600-$20,000"
"258",8,39843,168.16390865983,"$35,400-$50,700"
"259",8,16997,1298.4770896814,"$4,600-$20,000"
"260",8,12828,741.656896919065,"$4,600-$20,000"
"261",8,12112,735.959809030749,"$4,600-$20,000"
"262",8,25759,381.457482695219,"$20,000-$35,400"
"263",8,19119,876.47258699063,"$4,600-$20,000"
"264",8,13683,622.622344278923,"$4,600-$20,000"
"265",8,13898,167.434531494826,"$4,600-$20,000"
"266",8,13158,1225.07607536651,"$4,600-$20,000"
"269",8,19173,247.950924860792,"$4,600-$20,000"
"270",8,39422,208.311709898567,"$35,400-$50,700"
"271",8,13436,180.046885297931,"$4,600-$20,000"
"272",8,66179,680.805285760635,"$66,200-$81,530"
"274",8,18616,1264.45959915862,"$4,600-$20,000"
"275",8,19650,320.315805852613,"$4,600-$20,000"
"278",8,19861,1611.37566373053,"$4,600-$20,000"
"279",8,52083,264.645782186452,"50,800-$65,000"
"280",8,17276,252.94952849444,"$4,600-$20,000"
"285",8,15141,1024.95691070813,"$4,600-$20,000"
"288",8,12737,734.367477991399,"$4,600-$20,000"
"289",8,38688,74.7945002898449,"$35,400-$50,700"
"291",8,16615,1937.07388386843,"$4,600-$20,000"
"292",8,13406,283.40343059369,"$4,600-$20,000"
"294",8,14283,487.366757101187,"$4,600-$20,000"
"297",8,11843,14.6370996655848,"$4,600-$20,000"
"299",8,11295,526.127205860715,"$4,600-$20,000"
"301",8,12273,1008.66851236773,"$4,600-$20,000"
"302",8,63989,495.949989676493,"50,800-$65,000"
"304",8,54556,743.733114385165,"50,800-$65,000"
"306",8,24219,197.202833415003,"$20,000-$35,400"
"307",8,24088,453.748792684022,"$20,000-$35,400"
"308",8,10446,932.906473135378,"$4,600-$20,000"
"312",8,10767,1118.58598595057,"$4,600-$20,000"
"315",8,12373,1167.41135111162,"$4,600-$20,000"
"316",8,31462,102.77257814003,"$20,000-$35,400"
"317",8,60612,1086.11071860832,"50,800-$65,000"
"318",8,53081,1508.86697604605,"50,800-$65,000"
"319",8,10703,709.63787643264,"$4,600-$20,000"
"321",8,22364,1420.43517163586,"$20,000-$35,400"
"322",8,18311,609.605507557494,"$4,600-$20,000"
"323",8,11300,302.12951848524,"$4,600-$20,000"
"325",8,22440,1107.82390414568,"$20,000-$35,400"
"327",8,46046,515.790359664589,"$35,400-$50,700"
"329",8,11991,604.247756941355,"$4,600-$20,000"
"331",8,18904,332.119255797255,"$4,600-$20,000"
"332",8,19386,36.6301938041134,"$4,600-$20,000"
"333",8,13698,200.560363684206,"$4,600-$20,000"
"334",8,15980,1548.37000422812,"$4,600-$20,000"
"335",8,17366,1121.68261050027,"$4,600-$20,000"
"336",8,43385,1230.28919865292,"$35,400-$50,700"
"337",8,16656,377.811465102478,"$4,600-$20,000"
"339",8,17890,1647.40105414237,"$4,600-$20,000"
"340",8,11897,4.32623479989322,"$4,600-$20,000"
"341",8,59539,1346.84962322504,"50,800-$65,000"
"347",8,13784,29.498196564537,"$4,600-$20,000"
"348",8,55163,410.771204800977,"50,800-$65,000"
"349",8,16011,1223.82085426176,"$4,600-$20,000"
"350",8,64663,706.345380457506,"50,800-$65,000"
"351",8,19487,146.940482216993,"$4,600-$20,000"
"352",8,20217,632.65454421653,"$20,000-$35,400"
"353",8,47187,364.234800631789,"$35,400-$50,700"
"354",8,12359,447.830373052866,"$4,600-$20,000"
"355",8,13216,1050.11862784784,"$4,600-$20,000"
"357",8,18817,166.753260770296,"$4,600-$20,000"
"360",8,17963,830.908276144221,"$4,600-$20,000"
"361",8,9520,1640.45157330711,"$4,600-$20,000"
"362",8,11578,457.428330867808,"$4,600-$20,000"
"363",8,56544,121.954966202303,"50,800-$65,000"
"364",8,12543,621.366763864246,"$4,600-$20,000"
"365",8,40208,367.694238738496,"$35,400-$50,700"
"366",8,20220,435.817322263114,"$20,000-$35,400"
"368",8,18576,580.890099328979,"$4,600-$20,000"
"370",8,55686,274.472416747688,"50,800-$65,000"
"377",8,72382,1089.74799233322,"$66,200-$81,530"
"378",8,16828,113.60932582773,"$4,600-$20,000"
"379",8,12400,273.677793649204,"$4,600-$20,000"
"380",8,66930,380.98237416857,"$66,200-$81,530"
"381",8,9504,1097.11532253217,"$4,600-$20,000"
"382",8,44331,1877.23045481777,"$35,400-$50,700"
"388",8,45003,558.042106436909,"$35,400-$50,700"
"389",8,57004,956.323599513824,"50,800-$65,000"
"390",8,17798,824.612131649519,"$4,600-$20,000"
"391",8,11680,122.349171936279,"$4,600-$20,000"
"392",8,12197,385.786061709423,"$4,600-$20,000"
"393",8,77912,386.380349971664,"$66,200-$81,530"
"394",8,58504,1356.5917071785,"50,800-$65,000"
"395",8,35459,1386.58376542054,"$35,400-$50,700"
"396",8,52834,1632.9150917936,"50,800-$65,000"
"397",8,70094,554.615908002802,"$66,200-$81,530"
"398",8,12278,790.626017732207,"$4,600-$20,000"
"400",8,11661,2797.91701282854,"$4,600-$20,000"
"403",8,62643,1007.42931673158,"50,800-$65,000"
"404",8,12318,1707.14293658334,"$4,600-$20,000"
"407",8,12763,1083.56492228102,"$4,600-$20,000"
"408",8,12940,1013.27041117483,"$4,600-$20,000"
"410",8,13642,245.48759150386,"$4,600-$20,000"
"411",8,13443,1213.84355307173,"$4,600-$20,000"
"413",8,14837,572.114207132335,"$4,600-$20,000"
"414",8,12900,73.7709401204833,"$4,600-$20,000"
"415",8,13234,3083.09658434245,"$4,600-$20,000"
"416",8,16194,983.005954552032,"$4,600-$20,000"
"417",8,68002,468.411485451498,"$66,200-$81,530"
"419",8,69637,176.064537299974,"$66,200-$81,530"
"420",8,23297,451.457571527528,"$20,000-$35,400"
"421",8,72280,1155.3752604895,"$66,200-$81,530"
"423",8,21669,1916.32683791905,"$20,000-$35,400"
"426",8,51573,466.51878361134,"50,800-$65,000"
"427",8,21947,236.904637700555,"$20,000-$35,400"
"428",8,24198,2303.03558762206,"$20,000-$35,400"
"429",8,9076,364.081725362974,"$4,600-$20,000"
"431",8,18904,1305.46599446173,"$4,600-$20,000"
"432",8,72321,1335.52706851256,"$66,200-$81,530"
"433",8,11330,138.792339734127,"$4,600-$20,000"
"434",8,15082,586.536508341469,"$4,600-$20,000"
"436",8,77774,752.522607317336,"$66,200-$81,530"
"437",8,11245,67.3781897123408,"$4,600-$20,000"
"438",8,21485,1092.05259425695,"$20,000-$35,400"
"439",8,12311,649.298273080072,"$4,600-$20,000"
"440",8,10481,303.122246262043,"$4,600-$20,000"
"443",8,49249,1379.91671089867,"$35,400-$50,700"
"444",8,16204,125.346960513009,"$4,600-$20,000"
"446",8,9827,117.126035512088,"$4,600-$20,000"
"447",8,14606,1129.60968734626,"$4,600-$20,000"
"448",8,61577,1234.97199234164,"50,800-$65,000"
"449",8,9096,303.070687913131,"$4,600-$20,000"
"450",8,16072,1282.13397390026,"$4,600-$20,000"
"452",8,18316,268.525020362956,"$4,600-$20,000"
"453",8,47967,1389.2567624599,"$35,400-$50,700"
"455",8,12476,63.6317799121503,"$4,600-$20,000"
"458",8,64108,1616.84847184456,"50,800-$65,000"
"459",8,67045,32.4465563618998,"$66,200-$81,530"
"461",8,14929,1011.32110715517,"$4,600-$20,000"
"463",8,38380,1.99216545117691,"$35,400-$50,700"
"468",8,9319,341.143311193991,"$4,600-$20,000"
"471",8,18137,108.518372634152,"$4,600-$20,000"
"472",8,19681,946.017893280301,"$4,600-$20,000"
"473",4,24240,502.913514707665,"$20,000-$35,400"
"475",8,17869,1725.54567820482,"$4,600-$20,000"
"476",8,16442,1513.82221431227,"$4,600-$20,000"
"477",8,11810,1429.37548465726,"$4,600-$20,000"
"480",8,65901,844.078363642358,"50,800-$65,000"
"481",8,54415,1727.85775901856,"50,800-$65,000"
"482",8,54015,101.645266346157,"50,800-$65,000"
"485",8,27600,1093.81050106152,"$20,000-$35,400"
"486",8,10798,1840.77297123154,"$4,600-$20,000"
"488",7,23292,967.911839999569,"$20,000-$35,400"
"489",7,14059,419.039016020746,"$4,600-$20,000"
"490",7,16158,405.461773198353,"$4,600-$20,000"
"491",7,27732,1405.33739680008,"$20,000-$35,400"
"492",7,22842,247.571188894334,"$20,000-$35,400"
"493",7,22367,241.282888559283,"$20,000-$35,400"
"494",7,29125,1258.92243205874,"$20,000-$35,400"
"495",7,31442,913.286953565034,"$20,000-$35,400"
"496",7,48330,925.638919412293,"$35,400-$50,700"
"497",7,77875,144.31357362893,"$66,200-$81,530"
"499",7,12281,875.672926937813,"$4,600-$20,000"
"500",7,20220,696.406064236409,"$20,000-$35,400"
"501",7,36050,1136.62119234786,"$35,400-$50,700"
"503",7,27955,1392.70415845787,"$20,000-$35,400"
"504",7,23662,1376.74371482303,"$20,000-$35,400"
"505",7,16306,1309.32727288428,"$4,600-$20,000"
"507",7,18370,764.087464572547,"$4,600-$20,000"
"510",7,71341,793.218608739952,"$66,200-$81,530"
"512",7,23428,1116.94634826644,"$20,000-$35,400"
"513",7,16915,116.639695035839,"$4,600-$20,000"
"516",7,18151,914.558219786123,"$4,600-$20,000"
